ent_1_model,ent_1_handle,ent_1_extra_handles,ent_2_model,ent_2_handle,ent_2_handles_other,ent_2_extra_handles
DSS,,,PDC,tmt_128n,,StudyRunMetadata
DSS,,,PDC,tmt_129c,,StudyRunMetadata
DSS,,,,,,
DSS,,,PDC,tmt_130c,,StudyRunMetadata
DSS,,,GDC,derived_from (Analyte),,Aliquot
DSS,,,PDC,aliquot_is_ref,,Aliquot
DSS,,,PDC,pool,,Aliquot
DSS,,,PDC,aliquot_run_metadata_id,,AliquotRunMetadata
DSS,,,GDC,derived_from (Case),,BiospecimenSupplement
DSS,,,GDC,data_category,,BiospecimenSupplement
DSS,,,GDC,file_size,,BiospecimenSupplement
DSS,,,GDC,md5sum,,BiospecimenSupplement
DSS,,,ICDC,patient_id,,case
DSS,,,PDC,pool,,Case
DSS,,,CTDC,current_step,,case
DSS,,,CTDC,ctep_subcategory,,case
DSS,,,CTDC,meddra_code,,case
DSS,,,GDC,center_type,,Center
DSS,,,GDC,name,,Center
DSS,,,GDC,namespace,,Center
DSS,,,GDC,short_name,,Center
DSS,,,GDC,data_category,,ClinicalSupplement
DSS,,,GDC,file_name,,ClinicalSupplement
DSS,,,GDC,file_size,,ClinicalSupplement
DSS,,,GDC,md5sum,,ClinicalSupplement
DSS,,,ICDC,neutered_indicator,,demographic
DSS,,,ICDC,,,enrollment
DSS,,,GDC,derived_from (ReadGroup),,ExperimentMetadata
DSS,,,GDC,data_category,,ExperimentMetadata
DSS,,,GDC,file_name,,ExperimentMetadata
DSS,,,GDC,file_size,,ExperimentMetadata
DSS,,,GDC,md5sum,,ExperimentMetadata
DSS,,,PDC,access,,File
DSS,,,ICDC,file_status,,file
DSS,,,PDC,authority,,Gene
DSS,,,PDC,description,,Gene
DSS,,,PDC,gene_name,,Gene
DSS,,,C2M2,name,,gene
DSS,,,PDC,ncbi_gene_id,,Gene
DSS,,,PDC,organism,,Gene
DSS,,,PDC,proteins,,Gene
DSS,,,PDC,Gene,,GeneAbundance
DSS,,,PDC,Study,,GeneAbundance
DSS,,,PDC,StudyRunMetadata,,GeneAbundance
DSS,,,GDC,performed_at (FollowUp),,MolecularTest
DSS,,,GDC,molecular_analysis_method,,MolecularTest
DSS,,,HTAN,molecular_analysis_method,,Molecular Test
DSS,,,GDC,test_result,,MolecularTest
DSS,,,HTAN,test_result,,Molecular Test
DSS,,,GDC,derived_from (Sample),,PathologyReport
DSS,,,GDC,data_category,,PathologyReport
DSS,,,GDC,file_name,,PathologyReport
DSS,,,GDC,file_size,,PathologyReport
DSS,,,GDC,md5sum,,PathologyReport
DSS,,,GDC,dbgap_accession_number,,Program
DSS,,,PDC,start_date,,Program
DSS,,,ICDC,program_full_description,,program
DSS,,,PDC,program_manager,,Program
DSS,,,ICDC,program_short_description,,program
DSS,,,GDC,dbgap_accession_number,,Project
DSS,,,GDC,derived_from (Sample),,ProteinExpression
DSS,,,GDC,derived_from (Portion),,ProteinExpression
DSS,,,GDC,data_category,,ProteinExpression
DSS,,,GDC,experimental_strategy,,ProteinExpression
DSS,,,GDC,file_name,,ProteinExpression
DSS,,,PDC,2d_chromatography_type,,Protocol
DSS,,,PDC,acquistion_type,,Protocol
DSS,,,PDC,alkylation_reagent,,Protocol
DSS,,,PDC,chromatography_dimensions_count,,Protocol
DSS,,,PDC,dia_multiplexing,,Protocol
DSS,,,PDC,digestion_reagent,,Protocol
DSS,,,PDC,dissociation_type,,Protocol
DSS,,,PDC,document_name,,Protocol
DSS,,,PDC,enrichment,,Protocol
DSS,,,PDC,enrichment_strategy,,Protocol
DSS,,,PDC,experiment_type,,Protocol
DSS,,,PDC,fractions_analyzed_count,,Protocol
DSS,,,PDC,instrument_make,,Protocol
DSS,,,PDC,isobaric_labeling_reagent,,Protocol
DSS,,,PDC,label_free_quantitation,,Protocol
DSS,,,PDC,labeled_quantitation,,Protocol
DSS,,,PDC,protocol_name,,Protocol
DSS,,,PDC,quantitation_strategy,,Protocol
DSS,,,PDC,reporter_ion_ms_level,,Protocol
DSS,,,GDC,derived_from (Aliquot),,ReadGroup
DSS,,,GDC,experiment_name,,ReadGroup
DSS,,,GDC,is_paired_end,,ReadGroup
DSS,,,GDC,library_name,,ReadGroup
DSS,,,GDC,target_capture_kit,,ReadGroup
DSS,,,GDC,data_category,,RunMetadata
DSS,,,GDC,file_name,,RunMetadata
DSS,,,GDC,file_size,,RunMetadata
DSS,,,GDC,md5sum,,RunMetadata
DSS,,,ICDC,sample_id,,sample
DSS,,,ICDC,sample_site,,sample
DSS,,,ICDC,physical_sample_type,,sample
DSS,,,ICDC,general_sample_pathology,,sample
DSS,,,ICDC,necropsy_sample,,sample
DSS,,,ICDC,tumor_sample_origin,,sample
DSS,,,PDC,pool,,Sample
DSS,,,ICDC,specific_sample_pathology,,sample
DSS,,,ICDC,sample_chronology,,sample
DSS,,,ICDC,sample_preservation,,sample
DSS,,,GDC,data_from (Slide),,SlideImage
DSS,,,GDC,data_category,,SlideImage
DSS,,,GDC,experimental_strategy,,SlideImage
DSS,,,GDC,file_name,,SlideImage
DSS,,,GDC,file_size,,SlideImage
DSS,,,GDC,md5sum,,SlideImage
DSS,,,ICDC,member_of(program),,study
DSS,,,PDC,Project,,Study
DSS,,,PDC,acquisition_type,,Study
DSS,,,CTDC,lead_organization,,clinical_trial
DSS,,,CTDC,dbgap_accession_number,,clinical_trial
DSS,,,ICDC,accession_id,,study
DSS,,,CTDC,arm_id,,arm
DSS,,,CTDC,arm_target,,arm
DSS,,,CTDC,arm_drug,,arm
DSS,,,PDC,Protocol,,StudyRunMetadata
DSS,,,PDC,Study,,StudyRunMetadata
DSS,,,PDC,itraq_113,,StudyRunMetadata
DSS,,,PDC,itraq_114,,StudyRunMetadata
DSS,,,PDC,itraq_116,,StudyRunMetadata
DSS,,,PDC,itraq_117,,StudyRunMetadata
DSS,,,PDC,itraq_118,,StudyRunMetadata
DSS,,,PDC,itraq_121,,StudyRunMetadata
DSS,,,PDC,label_free,,StudyRunMetadata
DSS,,,PDC,study_run_metadata_id,,StudyRunMetadata
DSS,,,PDC,study_run_metadata_submitter_id,,StudyRunMetadata
DSS,,,PDC,tmt_126,,StudyRunMetadata
DSS,,,PDC,tmt_130n,,StudyRunMetadata
DSS,,,PDC,tmt_131,,StudyRunMetadata
DSS,,,PDC,tmt_131c,,StudyRunMetadata
DSS,,,PDC,Study,,WorkflowMetadata
DSS,,,ICDC,study_disposition,,study
DSS,,,GDC,aliquot_volume,,Aliquot
DSS,,,ICDC,,,adverse_event
DSS,,,PDC,aliquot_volume,,Aliquot
DSS,,,GDC,ENTITY,,FollowUp
DSS,,,ICDC,,,follow_up
DSS,,,PDC,ENTITY,,FollowUp
DSS,,,GDC,analyte_type,,Aliquot
DSS,,,PDC,analyte_type,,Aliquot
DSS,,,CDA,analyte_type,,Specimen
DSS,,,GDC,ajcc_clinical_t,,Diagnosis
DSS,,,PDC,ajcc_clinical_t,,Diagnosis
DSS,,,HTAN,ajcc_clinical_t,,Diagnosis
DSS,,,GDC,ajcc_pathologic_m,,Diagnosis
DSS,,,PDC,ajcc_pathologic_m,,Diagnosis
DSS,,,HTAN,ajcc_pathologic_m,,Diagnosis
DSS,,,mCODE,Has Member > TNM Distant Metastases Category,,Cancer Stage Group Profile
DSS,,,GDC,ajcc_pathologic_n,,Diagnosis
DSS,,,PDC,ajcc_pathologic_n,,Diagnosis
DSS,,,CDA,hasDiseaseStaging,,Diagnosis
DSS,,,HTAN,ajcc_pathologic_n,,Diagnosis
DSS,,,mCODE,Has Member > TNM Regional Nodes Category,,Cancer Stage Group Profile
DSS,,,GDC,ajcc_pathologic_t,,Diagnosis
DSS,,,PDC,ajcc_pathologic_t,,Diagnosis
DSS,,,HTAN,ajcc_pathologic_t,,Diagnosis
DSS,,,GDC,year_of_birth,,Demographic
DSS,,,IDC,Patient Study Module,Patient Age,DICOM
DSS,,,PDC,year_of_birth,,Demographic
DSS,,,HTAN,year_of_birth,,Demographics
DSS,,,GDC,days_to_birth,,Demographic
DSS,,,PDC,days_to_birth,,Demographic
DSS,,,CDA,days_to_birth,,Patient
DSS,,,GDC,id,,Diagnosis
DSS,,,PDC,diagnosis_id,,Diagnosis
DSS,,,CDA,dct:identifier,,Diagnosis
DSS,,,GDC,diagnosis_pathologically_confirmed,,Sample
DSS,,,PDC,diagnosis_pathologically_confirmed,,Sample
DSS,,,CDA,disease? Histopathology?,,Specimen
DSS,,,GDC,preservation_method,,Sample
DSS,,,PDC,preservation_method,,Sample
DSS,,,CDA,hasPreservationState,,Specimen
DSS,,,GDC,days_to_comorbidity,,FollowUp
DSS,,,PDC,days_to_comorbidity,,FollowUp
DSS,,,HTAN,days_to_comorbidity,,Follow-Up
DSS,,,GDC,days_to_recurrence,,FollowUp
DSS,,,PDC,days_to_recurrence,,FollowUp
DSS,,,CTDC,of_arm,,case
DSS,,,ICDC,member_of(cohort),,case
DSS,,,GDC,days_to_lost_to_followup,,Case
DSS,,,PDC,days_to_lost_to_followup,,Case
DSS,,,GDC,index_date,,Case
DSS,,,PDC,index_date,,Case
DSS,,,GDC,first_symptom_prior_to_diagnosis,,Diagnosis
DSS,,,PDC,first_symptom_prior_to_diagnosis,,Diagnosis
DSS,,,HTAN,first_symptom_prior_to_diagnosis,,Diagnosis
DSS,,,GDC,gleason_grade_group,,Diagnosis
DSS,,,PDC,gleason_grade_group,,Diagnosis
DSS,,,HTAN,gleason_grade_group,,Diagnosis
DSS,,,GDC,largest_extrapelvic_peritoneal_focus,,Diagnosis
DSS,,,PDC,largest_extrapelvic_peritoneal_focus,,Diagnosis
DSS,,,HTAN,largest_extrapelvic_peritoneal_focus,,Diagnosis
DSS,,,GDC,peripancreatic_lymph_nodes_positive,,Diagnosis
DSS,,,PDC,peripancreatic_lymph_nodes_positive,,Diagnosis
DSS,,,HTAN,peripancreatic_lymph_nodes_positive,,Diagnosis
DSS,,,GDC,peripancreatic_lymph_nodes_tested,,Diagnosis
DSS,,,PDC,peripancreatic_lymph_nodes_tested,,Diagnosis
DSS,,,HTAN,peripancreatic_lymph_nodes_tested,,Diagnosis
DSS,,,GDC,peritoneal_fluid_cytological_status,,Diagnosis
DSS,,,PDC,peritoneal_fluid_cytological_status,,Diagnosis
DSS,,,HTAN,peritoneal_fluid_cytological_status,,Diagnosis
DSS,,,GDC,primary_gleason_grade,,Diagnosis
DSS,,,PDC,primary_gleason_grade,,Diagnosis
DSS,,,HTAN,primary_gleason_grade,,Diagnosis
DSS,,,GDC,prior_malignancy,,Diagnosis
DSS,,,PDC,prior_malignancy,,Diagnosis
DSS,,,HTAN,prior_malignancy,,Diagnosis
DSS,,,GDC,describes (Diagnosis),,FollowUp
DSS,,,PDC,Diagnosis,,FollowUp
DSS,,,GDC,bmi,,FollowUp
DSS,,,PDC,bmi,,FollowUp
DSS,,,HTAN,bmi,,Follow-Up
DSS,,,GDC,cause_of_response,,FollowUp
DSS,,,PDC,cause_of_response,,FollowUp
DSS,,,HTAN,cause_of_response,,Follow-Up
DSS,,,GDC,comorbidity_method_of_diagnosis,,FollowUp
DSS,,,PDC,comorbidity_method_of_diagnosis,,FollowUp
DSS,,,HTAN,comorbidity_method_of_diagnosis,,Follow-Up
DSS,,,GDC,diabetes_treatment_type,,FollowUp
DSS,,,PDC,diabetes_treatment_type,,FollowUp
DSS,,,HTAN,diabetes_treatment_type,,Follow-Up
DSS,,,GDC,biospecimen_laterality,,Sample
DSS,,,PDC,biospecimen_laterality,,Sample
DSS,,,GDC,pathology_report_uuid,,Sample
DSS,,,PDC,pathology_report_uuid,,Sample
DSS,,,GDC,ENTITY,,Aliquot
DSS,,,PDC,ENTITY,,Aliquot
DSS,,,GDC,aliquot_quantity,,Aliquot
DSS,,,PDC,aliquot_quantity,,Aliquot
DSS,,,GDC,amount,,Aliquot
DSS,,,PDC,amount,,Aliquot
DSS,,,GDC,analyte_type_id,,Aliquot
DSS,,,PDC,analyte_type_id,,Aliquot
DSS,,,GDC,concentration,,Aliquot
DSS,,,PDC,concentration,,Aliquot
DSS,,,GDC,ENTITY,,Analyte
DSS,,,PDC,ENTITY,,Analyte
DSS,,,GDC,a260_a280_ratio,,Analyte
DSS,,,PDC,a260_a280_ratio,,Analyte
DSS,,,GDC,id,,Analyte
DSS,,,PDC,analyte_id,,Analyte
DSS,,,GDC,submitter_id,,Analyte
DSS,,,PDC,analyte_submitter_id,,Analyte
DSS,,,GDC,amount,,Analyte
DSS,,,PDC,amount,,Analyte
DSS,,,GDC,analyte_quantity,,Analyte
DSS,,,PDC,analyte_quantity,,Analyte
DSS,,,GDC,analyte_type_id,,Analyte
DSS,,,PDC,analyte_type_id,,Analyte
DSS,,,GDC,analyte_volume,,Analyte
DSS,,,PDC,analyte_volume,,Analyte
DSS,,,GDC,concentration,,Analyte
DSS,,,PDC,concentration,,Analyte
DSS,,,GDC,normal_tumor_genotype_snp_match,,Analyte
DSS,,,PDC,normal_tumor_genotype_snp_match,,Analyte
DSS,,,GDC,ribosomal_rna_28s_16s_ratio,,Analyte
DSS,,,PDC,ribosomal_rna_28s_16s_ratio,,Analyte
DSS,,,GDC,spectrophotometer_method,,Analyte
DSS,,,PDC,spectrophotometer_method,,Analyte
DSS,,,GDC,well_number,,Analyte
DSS,,,PDC,well_number,,Analyte
DSS,,,GDC,ref:GDC:ubiquitous_properties,,Case
DSS,,,PDC,tissue_source_site_code,,Case
DSS,,,ICDC,member_of(study_arm),,cohort
DSS,,,GDC,age_at_index,,Demographic
DSS,,,PDC,age_at_index,,Demographic
DSS,,,GDC,age_is_obfuscated,,Demographic
DSS,,,PDC,age_is_obfuscated,,Demographic
DSS,,,HTAN,age_is_obfuscated,,Demographics
DSS,,,GDC,cause_of_death,,Demographic
DSS,,,PDC,cause_of_death,,Demographic
DSS,,,HTAN,cause_of_death,,Demographics
DSS,,,GDC,cause_of_death_source,,Demographic
DSS,,,PDC,cause_of_death_source,,Demographic
DSS,,,HTAN,cause_of_death_source,,Demographics
DSS,,,GDC,days_to_death,,Demographic
DSS,,,PDC,days_to_death,,Demographic
DSS,,,HTAN,days_to_death,,Demographics
DSS,,,GDC,id,,Demographic
DSS,,,PDC,demographic_id,,Demographic
DSS,,,GDC,submitter_id,,Demographic
DSS,,,PDC,demographic_submitter_id,,Demographic
DSS,,,GDC,occupation_duration_years,,Demographic
DSS,,,PDC,occupation_duration_years,,Demographic
DSS,,,HTAN,occupation_duration_years,,Demographics
DSS,,,GDC,premature_at_birth,,Demographic
DSS,,,PDC,premature_at_birth,,Demographic
DSS,,,HTAN,premature_at_birth,,Demographics
DSS,,,GDC,weeks_gestation_at_birth,,Demographic
DSS,,,PDC,weeks_gestation_at_birth,,Demographic
DSS,,,HTAN,weeks_gestation_at_birth,,Demographics
DSS,,,GDC,year_of_death,,Demographic
DSS,,,PDC,year_of_death,,Demographic
DSS,,,HTAN,year_of_death,,Demographics
DSS,,,GDC,ajcc_clinical_m,,Diagnosis
DSS,,,PDC,ajcc_clinical_m,,Diagnosis
DSS,,,HTAN,ajcc_clinical_m,,Diagnosis
DSS,,,GDC,ajcc_clinical_n,,Diagnosis
DSS,,,PDC,ajcc_clinical_n,,Diagnosis
DSS,,,HTAN,ajcc_clinical_n,,Diagnosis
DSS,,,GDC,ajcc_staging_system_edition,,Diagnosis
DSS,,,PDC,ajcc_staging_system_edition,,Diagnosis
DSS,,,HTAN,ajcc_staging_system_edition,,Diagnosis
DSS,,,GDC,anaplasia_present,,Diagnosis
DSS,,,PDC,anaplasia_present,,Diagnosis
DSS,,,HTAN,anaplasia_present,,Diagnosis
DSS,,,GDC,anaplasia_present_type,,Diagnosis
DSS,,,PDC,anaplasia_present_type,,Diagnosis
DSS,,,HTAN,anaplasia_present_type,,Diagnosis
DSS,,,GDC,ann_arbor_b_symptoms,,Diagnosis
DSS,,,PDC,ann_arbor_b_symptoms,,Diagnosis
DSS,,,HTAN,ann_arbor_b_symptoms,,Diagnosis
DSS,,,GDC,ann_arbor_extranodal_involvement,,Diagnosis
DSS,,,PDC,ann_arbor_extranodal_involvement,,Diagnosis
DSS,,,HTAN,ann_arbor_extranodal_involvement,,Diagnosis
DSS,,,GDC,best_overall_response,,Diagnosis
DSS,,,PDC,best_overall_response,,Diagnosis
DSS,,,HTAN,best_overall_response,,Diagnosis
DSS,,,GDC,breslow_thickness,,Diagnosis
DSS,,,PDC,breslow_thickness,,Diagnosis
DSS,,,HTAN,breslow_thickness,,Diagnosis
DSS,,,GDC,burkitt_lymphoma_clinical_variant,,Diagnosis
DSS,,,PDC,burkitt_lymphoma_clinical_variant,,Diagnosis
DSS,,,HTAN,burkitt_lymphoma_clinical_variant,,Diagnosis
DSS,,,GDC,child_pugh_classification,,Diagnosis
DSS,,,PDC,child_pugh_classification,,Diagnosis
DSS,,,HTAN,child_pugh_classification,,Diagnosis
DSS,,,GDC,circumferential_resection_margin,,Diagnosis
DSS,,,PDC,circumferential_resection_margin,,Diagnosis
DSS,,,HTAN,circumferential_resection_margin,,Diagnosis
DSS,,,GDC,classification_of_tumor,,Diagnosis
DSS,,,PDC,classification_of_tumor,,Diagnosis
DSS,,,HTAN,classification_of_tumor,,Diagnosis
DSS,,,GDC,cog_neuroblastoma_risk_group,,Diagnosis
DSS,,,PDC,cog_neuroblastoma_risk_group,,Diagnosis
DSS,,,HTAN,cog_neuroblastoma_risk_group,,Diagnosis
DSS,,,GDC,cog_rhabdomyosarcoma_risk_group,,Diagnosis
DSS,,,PDC,cog_rhabdomyosarcoma_risk_group,,Diagnosis
DSS,,,HTAN,cog_rhabdomyosarcoma_risk_group,,Diagnosis
DSS,,,GDC,year_of_diagnosis,,Diagnosis
DSS,,,PDC,year_of_diagnosis,,Diagnosis
DSS,,,HTAN,year_of_diagnosis,,Diagnosis
DSS,,,GDC,days_to_diagnosis,,Diagnosis
DSS,,,PDC,days_to_diagnosis,,Diagnosis
DSS,,,HTAN,days_to_diagnosis,,Diagnosis
DSS,,,GDC,days_to_best_overall_response,,Diagnosis
DSS,,,PDC,days_to_best_overall_response,,Diagnosis
DSS,,,GDC,submitter_id,,Diagnosis
DSS,,,PDC,diagnosis_submitter_id,,Diagnosis
DSS,,,GDC,enneking_msts_grade,,Diagnosis
DSS,,,PDC,enneking_msts_grade,,Diagnosis
DSS,,,HTAN,enneking_msts_grade,,Diagnosis
DSS,,,GDC,enneking_msts_metastasis,,Diagnosis
DSS,,,PDC,enneking_msts_metastasis,,Diagnosis
DSS,,,HTAN,enneking_msts_metastasis,,Diagnosis
DSS,,,GDC,enneking_msts_tumor_site,,Diagnosis
DSS,,,PDC,enneking_msts_tumor_site,,Diagnosis
DSS,,,HTAN,enneking_msts_tumor_site,,Diagnosis
DSS,,,GDC,esophageal_columnar_dysplasia_degree,,Diagnosis
DSS,,,PDC,esophageal_columnar_dysplasia_degree,,Diagnosis
DSS,,,HTAN,esophageal_columnar_dysplasia_degree,,Diagnosis
DSS,,,GDC,esophageal_columnar_metaplasia_present,,Diagnosis
DSS,,,PDC,esophageal_columnar_metaplasia_present,,Diagnosis
DSS,,,HTAN,esophageal_columnar_metaplasia_present,,Diagnosis
DSS,,,GDC,gastric_esophageal_junction_involvement,,Diagnosis
DSS,,,PDC,gastric_esophageal_junction_involvement,,Diagnosis
DSS,,,HTAN,gastric_esophageal_junction_involvement,,Diagnosis
DSS,,,GDC,goblet_cells_columnar_mucosa_present,,Diagnosis
DSS,,,PDC,goblet_cells_columnar_mucosa_present,,Diagnosis
DSS,,,HTAN,goblet_cells_columnar_mucosa_present,,Diagnosis
DSS,,,GDC,gross_tumor_weight,,Diagnosis
DSS,,,PDC,gross_tumor_weight,,Diagnosis
DSS,,,HTAN,gross_tumor_weight,,Diagnosis
DSS,,,GDC,inpc_grade,,Diagnosis
DSS,,,PDC,inpc_grade,,Diagnosis
DSS,,,HTAN,inpc_grade,,Diagnosis
DSS,,,GDC,inpc_histologic_group,,Diagnosis
