ent_1_model,ent_1_handle,ent_1_extra_handles,ent_2_model,ent_2_handle,ent_2_extra_handles
DSS,Ethnicity,['Subject'],CDS,ethnicity,['Subject']
DSS,Identifier,['Specimen'],GDC,id,['sample']
DSS,Identifier,['Specimen'],ICDC,sample_id,['sample']
DSS,Identifier,['Specimen'],PDC,sample_id,['sample']
DSS,Identifier,['Specimen'],CDS,sample_id,['Sample Information']
DSS,Identifier,['Specimen'],CDA,identifier,['Specimen']
DSS,Identifier,['Specimen'],mCODE,Identifier,['Tumor Specimen']
DSS,Identifier,['File'],ICDC,uuid,['file']
DSS,Identifier,['File'],IDC,source_DOI,['file']
DSS,Identifier,['File'],PDC,file_id,['file']
DSS,Identifier,['File'],CDS,file_id,['File']
DSS,Identifier,['File'],CDA,identifier,['File']
DSS,Identifier,['File'],C2M2,local_id,['file']
DSS,Name,['Program'],GDC,name,['program']
DSS,Name,['Program'],ICDC,program_name,['program']
DSS,Name,['Program'],IDC,Program,['file']
DSS,Name,['Program'],PDC,name,['program']
DSS,Name,['Program'],CDS,funding_source_program_name,['Funding Information']
DSS,Name,['Program'],C2M2,name,['project']
DSS,Taxon,['Subject'],IDC,tcia_species,['file']
DSS,Taxon,['Subject'],PDC,taxon,['case']
DSS,Taxon,['Subject'],CDA,species,['Subject']
DSS,Taxon,['Subject'],C2M2,taxonomy_id,['subject_role_taxonomy']
DSS,Gender (Gender Identity),['Subject'],CTDC,gender,['case']
DSS,Gender (Gender Identity),['Subject'],GDC,gender,['demographic']
DSS,Gender (Gender Identity),['Subject'],IDC,Patients Sex,['file']
DSS,Gender (Gender Identity),['Subject'],PDC,gender,['demographic']
DSS,Gender (Gender Identity),['Subject'],CDS,gender,['Participant']
DSS,Gender (Gender Identity),['Subject'],HTAN,gender,['Demographics']
DSS,Gender (Gender Identity),['Subject'],mCODE,Gender,['Cancer Patient']
DSS,Type,['File'],ICDC,file_type,['file']
DSS,Type,['File'],PDC,file_type,['file']
DSS,Type,['File'],CDS,file_type,['File']
DSS,Type,['File'],CDA,data_type,['File']
DSS,Type,['File'],C2M2,data_type,['file']
DSS,Name,['Study'],CTDC,clinical_trial_long_name,['clinical_trial']
DSS,Name,['Study'],ICDC,clinical_study_name,['study']
DSS,Name,['Study'],C2M2,name,['project']
DSS,Type,['Study'],CTDC,clinical_trial_type,['clinical_trial']
DSS,Type,['Study'],ICDC,clinical_study_type,['study']
DSS,Clinical Stage,['Disease'],ICDC,stage_of_disease,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,tumor_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],mCODE,Code,['Primary Cancer Condition']
DSS,Investigator Name,['Principal'],CTDC,principal_investigators,['clinical_trial']
DSS,Investigator Name,['Principal'],ICDC,pi_first_name,['principal_investigator']
DSS,Investigator Name,['Principal'],C2M2,contact_name,['dcc']
DSS,Name,['Program'],ICDC,program_acronym,['program']
DSS,Name,['Program'],PDC,program_shortname,['program']
DSS,Anatomic Site,['Specimen'],GDC,biospecimen_anatomic_site,['sample']
DSS,Anatomic Site,['Specimen'],ICDC,sample_site,['sample']
DSS,Anatomic Site,['Specimen'],IDC,BodyPartExamined,['file']
DSS,Anatomic Site,['Specimen'],PDC,biospecimen_anatomic_site,['sample']
DSS,Anatomic Site,['Specimen'],CDS,sample_anatomic_site,['Additional Sample Information']
DSS,Anatomic Site,['Specimen'],CDA,anatomical_site,['Specimen']
DSS,Anatomic Site,['Specimen'],C2M2,anatomy,['biosample']
DSS,Anatomic Site,['Specimen'],mCODE,Body Site,['Genomic Specimen']
DSS,Identifier,['Study'],CTDC,clinical_trial_id,['clinical_trial']
DSS,Identifier,['Study'],ICDC,clinical_study_id,['study']
DSS,Identifier,['Study'],PDC,study_id,['study']
DSS,Identifier,['Study'],C2M2,local_id,['project']
DSS,Gender (PhenotypicSex),['Subject'],CDA,sex,['Subject']
DSS,Type,['Exposure'],GDC,alcohol_history,['exposure']
DSS,Type,['Exposure'],PDC,alcohol_history,['exposure']
DSS,Type,['Exposure'],HTAN,alcohol_history,['Exposure']
DSS,Type,['Exposure'],GDC,environmental_tobacco_smoke_exposure,['exposure']
DSS,Type,['Exposure'],PDC,environmental_tobacco_smoke_exposure,['exposure']
DSS,Type,['Exposure'],HTAN,environmental_tobacco_smoke_exposure,['Exposure']
DSS,"Sex (Genotypic Sex)
",['Subject'],ICDC,sex,['demographic']
DSS,"Sex (Genotypic Sex)
",['Subject'],C2M2,sex,['subject']
DSS,Site,['Primary'],GDC,primary_site,['case']
DSS,Site,['Primary'],ICDC,primary_disease_site,['diagnosis']
DSS,Site,['Primary'],PDC,primary_site,['case']
DSS,Site,['Primary'],CDS,primary_site,['Diagnosis']
DSS,Site,['Primary'],mCODE,Body Site,['Primary Cancer Condition']
DSS,Name,['Study'],CTDC,clinical_trial_short_name,['clinical_trial']
DSS,Name,['Study'],PDC,study_short_name,['study']
DSS,Format,['File'],GDC,data_format,['clinicalsupplement']
DSS,Format,['File'],GDC,data_format,['biospecimensupplement']
DSS,Type,['File'],GDC,data_type,['biospecimensupplement']
DSS,Type,['File'],GDC,data_type,['clinicalsupplement']
DSS,Format,['File'],GDC,data_format,['experimentmetadata']
DSS,Type,['File'],GDC,data_type,['experimentmetadata']
DSS,chromosome,['Gene'],CTDC,Chromosome,['snv_variant']
DSS,chromosome,['Gene'],GDC,chromosome,['moleculartest']
DSS,chromosome,['Gene'],PDC,chromosome,['gene']
DSS,chromosome,['Gene'],HTAN,chromosome,['Molecular Test']
DSS,chromosome,['Gene'],mCODE,Cytogenetic Location,['Genomic Variant']
DSS,Locus,['Gene'],PDC,locus,['gene']
DSS,Locus,['Gene'],mCODE,Genomic Reference Sequence Id,['Genomic Region Studied']
DSS,symbol,['Gene'],PDC,gene_id,['geneabundance']
DSS,symbol,['Gene'],mCODE,Genomic Reference Sequence Id,['Genomic Region Studied']
DSS,symbol,['Gene'],PDC,gene_name,['geneabundance']
DSS,symbol,['Gene'],C2M2,id,['gene']
DSS,symbol,['Gene'],GDC,gene_symbol,['moleculartest']
DSS,symbol,['Gene'],HTAN,gene_symbol,['Molecular Test']
DSS,Format,['File'],GDC,data_format,['pathologyreport']
DSS,Type,['File'],GDC,data_type,['pathologyreport']
DSS,Investigator Name,['Principal'],ICDC,pi_last_name,['principal_investigator']
DSS,Format,['File'],GDC,data_format,['proteinexpression']
DSS,Type,['File'],GDC,data_type,['proteinexpression']
DSS,Format,['File'],GDC,data_format,['runmetadata']
DSS,Type,['File'],GDC,data_type,['runmetadata']
DSS,specific morphology ,['Tissue'],ICDC,specific_sample_pathology,['sample']
DSS,specific morphology ,['Tissue'],mCODE,Code,['Primary Cancer Condition']
DSS,Format,['File'],GDC,data_format,['slideimage']
DSS,Type,['File'],GDC,data_type,['slideimage']
DSS,Identifier,['Project'],GDC,id,['project']
DSS,Identifier,['Project'],IDC,collection_id,['file']
DSS,Identifier,['Project'],PDC,project_id,['project']
DSS,Identifier,['Project'],CDA,member_of_research_project,['ResearchSubject']
DSS,Identifier,['Project'],C2M2,local_id,['project']
DSS,longest dimension,['Specimen'],GDC,longest_dimension,['sample']
DSS,longest dimension,['Specimen'],ICDC,length_of_tumor,['sample']
DSS,longest dimension,['Specimen'],PDC,longest_dimension,['sample']
DSS,longest dimension,['Specimen'],HTAN,tumor_largest_dimension_diameter,['Diagnosis']
DSS,longest dimension,['Specimen'],mCODE,Tumor Longest Dimension,['Tumor Size']
DSS,shortest dimension,['Specimen'],GDC,shortest_dimension,['sample']
DSS,shortest dimension,['Specimen'],ICDC,width_of_tumor,['sample']
DSS,shortest dimension,['Specimen'],PDC,shortest_dimension,['sample']
DSS,Pathologic Stage,['Disease'],GDC,ajcc_pathologic_stage,['diagnosis']
DSS,Pathologic Stage,['Disease'],PDC,ajcc_pathologic_stage,['diagnosis']
DSS,Pathologic Stage,['Disease'],CDA,stage,['Diagnosis']
DSS,Pathologic Stage,['Disease'],HTAN,ajcc_pathologic_stage,['Diagnosis']
DSS,Pathologic Stage,['Disease'],mCODE,Code,['Primary Cancer Condition']
DSS,Clinical Stage,['Disease'],GDC,figo_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,figo_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],CDA,stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,figo_stage,['Diagnosis']
DSS,Code,['Disease'],GDC,icd_10_code,['diagnosis']
DSS,Code,['Disease'],PDC,icd_10_code,['diagnosis']
DSS,Code,['Disease'],HTAN,icd_10_code,['Diagnosis']
DSS,Code,['Disease'],C2M2,id,['disease']
DSS,Code,['Disease'],mCODE,Component,['Comorbidities Elixhauser']
DSS,Modality,['Imaging'],IDC,Modality,['file']
DSS,Modality,['Imaging'],CDS,modality,['Imaging-Specific Information']
DSS,Modality,['Imaging'],CDA,hasImagingFileType,['File']
DSS,Modality,['Imaging'],C2M2,mime_type,['file']
DSS,Clinical Stage,['Disease'],GDC,ajcc_clinical_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,ajcc_clinical_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,ajcc_clinical_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,ann_arbor_clinical_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,ann_arbor_clinical_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,ann_arbor_clinical_stage,['Diagnosis']
DSS,Pathologic Stage,['Disease'],GDC,ann_arbor_pathologic_stage,['diagnosis']
DSS,Pathologic Stage,['Disease'],PDC,ann_arbor_pathologic_stage,['diagnosis']
DSS,Pathologic Stage,['Disease'],HTAN,ann_arbor_pathologic_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,cog_liver_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,cog_liver_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,cog_liver_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,cog_renal_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,cog_renal_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,cog_renal_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,enneking_msts_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,enneking_msts_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,enneking_msts_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,igcccg_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,igcccg_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,igcccg_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,inrg_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,inrg_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,inrg_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,inss_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,inss_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,inss_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,irs_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,irs_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,irs_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,iss_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,iss_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,iss_stage,['Diagnosis']
DSS,Clinical Stage,['Disease'],GDC,masaoka_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,masaoka_stage,['diagnosis']
DSS,Clinical Stage,['Disease'],HTAN,masaoka_stage,['Diagnosis']
DSS,Type,['Exposure'],GDC,asbestos_exposure,['exposure']
DSS,Type,['Exposure'],PDC,asbestos_exposure,['exposure']
DSS,Type,['Exposure'],HTAN,asbestos_exposure,['Exposure']
DSS,Type,['Exposure'],GDC,coal_dust_exposure,['exposure']
DSS,Type,['Exposure'],PDC,coal_dust_exposure,['exposure']
DSS,Type,['Exposure'],HTAN,coal_dust_exposure,['Exposure']
DSS,Type,['Exposure'],GDC,radon_exposure,['exposure']
DSS,Type,['Exposure'],PDC,radon_exposure,['exposure']
DSS,Type,['Exposure'],HTAN,radon_exposure,['Exposure']
DSS,Type,['Exposure'],GDC,respirable_crystalline_silica_exposure,['exposure']
DSS,Type,['Exposure'],PDC,respirable_crystalline_silica_exposure,['exposure']
DSS,Type,['Exposure'],HTAN,respirable_crystalline_silica_exposure,['Exposure']
DSS,Identifier,['Project'],GDC,project_id,['familyhistory']
DSS,Identifier,['Project'],PDC,project_id,['familyhistory']
DSS,Identifier,['Project'],GDC,project_id,['followup']
DSS,Identifier,['Project'],PDC,project_id,['followup']
DSS,Identifier,['Program'],GDC,id,['program']
DSS,Identifier,['Program'],PDC,program_id,['program']
DSS,age at specimen collection,['Subject'],GDC,days_to_collection,['sample']
DSS,age at specimen collection,['Subject'],PDC,days_to_collection,['sample']
DSS,age at specimen collection,['Subject'],CDS,sample_age_at_collection,['Additional Sample Information']
DSS,age at specimen collection,['Subject'],C2M2,age_at_sampling,['biosample_from_subject']
DSS,Identifier,['Project'],GDC,project_id,['treatment']
DSS,Identifier,['Project'],PDC,project_id,['treatment']
DSS,Age at Diagnosis,['Subject'],GDC,age_at_diagnosis,['clinical']
DSS,Identifier,['Project'],GDC,project_id,['demographic']
DSS,Locus,['Gene'],GDC,locus,['moleculartest']
DSS,Locus,['Gene'],HTAN,locus,['Molecular Test']
DSS,Identifier,['Project'],GDC,project_id,['readgroup']
DSS,Identifier,['Project'],GDC,project_id,['aliquot']
DSS,Identifier,['Project'],GDC,project_id,['analyte']
DSS,Identifier,['Project'],GDC,project_id,['biospecimensupplement']
DSS,Identifier,['Project'],GDC,project_id,['case']
DSS,Identifier,['Project'],GDC,project_id,['clinicalsupplement']
DSS,Identifier,['Project'],GDC,project_id,['diagnosis']
DSS,symbol,['Gene'],PDC,gene_id,['gene']
DSS,symbol,['Gene'],mCODE,Cytogenetic Nomenclature,['Genomic Variant']
DSS,chromosome,['Gene'],mCODE,Genomic Reference Sequence Id,['Genomic Region Studied']
DSS,chromosome,['Gene'],CTDC,Chromosome,['delins_variant']
DSS,chromosome,['Gene'],CTDC,Chromosome,['indel_variant']
DSS,chromosome,['Gene'],CTDC,Chromosome,['copy_number_variant']
DSS,Identifier,['Project'],GDC,project_id,['moleculartest']
DSS,symbol,['Gene'],GDC,second_gene_symbol,['moleculartest']
DSS,symbol,['Gene'],HTAN,second_gene_symbol,['Molecular Test']
DSS,Variant Type,['Gene'],GDC,variant_type,['moleculartest']
DSS,Variant Type,['Gene'],HTAN,variant_type,['Molecular Test']
DSS,Identifier,['Project'],GDC,project_id,['pathologyreport']
DSS,Identifier,['Project'],GDC,project_id,['portion']
DSS,Investigator Name,['Principal'],ICDC,pi_middle_initial,['principal_investigator']
DSS,Identifier,['Project'],GDC,project_id,['proteinexpression']
DSS,Identifier,['Project'],PDC,program_id,['protocol']
DSS,Identifier,['Specimen'],PDC,gdc_sample_id,['sample']
DSS,Identifier,['Project'],GDC,project_id,['sample']
DSS,Identifier,['Project'],PDC,gdc_project_id,['sample']
DSS,Identifier,['Project'],GDC,project_id,['slide']
DSS,Identifier,['Project'],GDC,project_id,['slideimage']
DSS,Format,['File'],GDC,data_format,['analysismetadata']
DSS,Format,['File'],GDC,data_format,['rawmethylationarray']
DSS,Format,['File'],GDC,data_format,['submittedalignedreads']
DSS,Format,['File'],GDC,data_format,['submittedgenomicprofile']
DSS,Format,['File'],GDC,data_format,['submittedgenotypingarray']
DSS,Format,['File'],GDC,data_format,['submittedtangentcopynumber']
DSS,Format,['File'],GDC,data_format,['submittedunalignedreads']
DSS,Type,['File'],GDC,data_type,['analysismetadata']
DSS,Type,['File'],GDC,data_type,['rawmethylationarray']
DSS,Type,['File'],GDC,data_type,['submittedalignedreads']
DSS,Type,['File'],GDC,data_type,['submittedgenomicprofile']
DSS,Type,['File'],GDC,data_type,['submittedgenotypingarray']
DSS,Type,['File'],GDC,data_type,['submittedtangentcopynumber']
DSS,Type,['File'],GDC,data_type,['submittedunalignedreads']
DSS,Type,['File'],CDS,file_types_and_format,['Additional Study Information']
DSS,Type,['Exposure'],HTAN,type_of_smoke_exposure,['Exposure']
DSS,Grade,['Tumor'],PDC,who_cns_grade,['diagnosis']
DSS,Grade,['Tumor'],PDC,who_nte_grade,['diagnosis']
DSS,Grade,['Tumor'],PDC,gleason_grade_tertiary,['diagnosis']
DSS,Clinical Stage,['Disease'],PDC,figo_staging_edition_year,['diagnosis']
DSS,Type,['Exposure'],PDC,exposure_type,['exposure']
